full_name,team,position,age,gp,mpg,fta,ftper,twopA,twoPer,threepA,threePer,ppg,rpg,apg,spg,bpg,topg,versatilityIndex
Nick Richards,Cha,C,23.46,18,3.5,11,0.636,8,0.5,1,0,0.8,0.6,0.1,0,0,0.17,4.2
Josh Richardson,Dal,G,27.67,59,30.3,108,0.917,351,0.501,267,0.33,12.1,3.3,2.6,1.03,0.41,1.34,6.2
Grant Riller,Cha,G,24.27,7,3.9,0,0,8,0.75,4,0.5,2.6,0.1,0.4,0.14,0,0.14,4.8
Austin Rivers,Nyk,G,28.79,21,21.1,14,0.714,58,0.517,77,0.364,7.3,2.2,2,0.57,0,1.05,6
Austin Rivers,Den,G,28.79,15,26.9,17,0.706,38,0.5,72,0.375,8.7,2.3,2.6,1.2,0.13,0.93,5.6
Andre Roberson,Bro,G-F,29.45,5,12.6,2,0.5,6,0.167,8,0.125,1.2,3,0.8,0.6,0.2,0.4,4.5
Glenn Robinson III,Sac,F,27.35,23,16.1,23,0.913,55,0.473,44,0.364,5.3,2,0.9,0.17,0.13,0.48,5.3
Duncan Robinson,Mia,F,27.07,72,31.4,75,0.827,104,0.625,613,0.408,13.1,3.5,1.8,0.6,0.28,1.13,5.5
Jerome Robinson,Was,G,24.23,17,17.9,20,0.8,53,0.321,42,0.262,4.9,2.2,1.5,0.71,0.35,1.12,5.7
Justin Robinson,Okc,G,23.6,9,9.8,5,0.6,7,0.429,14,0.286,2.3,0.8,1,0.33,0,0.22,5
Mitchell Robinson,Nyk,C-F,23.13,31,27.5,53,0.491,176,0.653,0,0,8.3,8.1,0.5,1.13,1.45,0.84,4.7
Isaiah Roby,Okc,F,23.28,61,23.4,117,0.744,320,0.547,109,0.294,8.7,5.6,1.8,0.85,0.61,1.85,7.6
Rajon Rondo,Atl,G,35.23,27,14.9,2,0.5,65,0.415,45,0.378,3.9,2,3.5,0.7,0.07,1.44,8.1
Rajon Rondo,Lac,G,35.23,18,20.4,15,1,61,0.525,44,0.432,7.6,3.1,5.8,0.94,0.11,2.22,10.1
Derrick Rose,Det,G,32.61,15,22.8,50,0.84,145,0.455,39,0.333,14.2,1.9,4.2,1.2,0.27,1.93,8.5
Derrick Rose,Nyk,G,32.61,35,26.8,77,0.883,337,0.507,90,0.411,14.9,2.9,4.2,0.89,0.43,1.4,8.5
Terrence Ross,Orl,G-F,30.28,46,29.3,138,0.87,352,0.469,264,0.337,15.6,3.4,2.4,1.02,0.46,1.59,6.9
Terry Rozier,Cha,G,27.17,69,34.5,202,0.817,562,0.512,571,0.389,20.4,4.4,4.2,1.25,0.38,1.87,8.4
Ricky Rubio,Min,G,30.57,68,26.1,150,0.867,284,0.447,214,0.308,8.6,3.3,6.4,1.46,0.06,1.63,8.7
D'Angelo Russell,Min,G,25.23,42,28.5,149,0.765,342,0.471,310,0.387,19,2.6,5.8,1.07,0.43,2.67,9.3
Domantas Sabonis,Ind,F-C,25.04,62,36,328,0.732,742,0.582,162,0.321,20.3,12,6.7,1.23,0.53,3.44,13.1
Luka Samanic,San,F,21.35,33,9.3,29,0.552,62,0.565,43,0.279,3.7,2.1,0.5,0.24,0.24,0.61,6.8
JaKarr Sampson,Ind,F,28.16,29,10.9,29,0.655,98,0.541,15,0.2,4.6,2.7,0.1,0.07,0.48,0.52,3.9
Dario Saric,Pho,F-C,27.11,50,17.4,99,0.848,207,0.512,135,0.348,8.7,3.8,1.3,0.6,0.08,1.14,8.1
Tomas Satoransky,Chi,G,29.55,58,22.5,79,0.848,210,0.605,118,0.356,7.7,2.4,4.7,0.69,0.24,1.66,7.9
Dennis Schroder,Lal,G,27.67,61,32.1,243,0.848,548,0.476,212,0.335,15.4,3.5,5.8,1.16,0.21,2.67,8.5
Mike Scott,Phi,F,32.83,51,16.7,12,0.667,56,0.411,155,0.342,4.2,2.4,0.8,0.47,0.27,0.37,4.8
Jay Scrubb,Lac,G,20.71,4,21.1,5,1,27,0.444,9,0.222,8.8,3.5,0.3,1,0,1.75,4
Collin Sexton,Cle,G,22.36,60,35.3,383,0.815,841,0.508,264,0.371,24.3,3.1,4.4,1.05,0.17,2.78,7.8
Landry Shamet,Bro,G,24.18,61,23,78,0.846,123,0.463,333,0.387,9.3,1.8,1.6,0.52,0.16,0.79,5.2
Iman Shumpert,Bro,G,30.89,2,5.5,0,0,1,1,3,0,1,0.5,0,0.5,0,0.5,0
Pascal Siakam,Tor,F,27.12,56,35.8,301,0.827,715,0.509,246,0.297,21.4,7.2,4.5,1.14,0.68,2.32,9.9
Chris Silva,Mia,F,24.66,11,7.5,15,0.733,12,0.667,1,1,2.7,2.3,0.5,0.09,0.45,0.82,7.8
